epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,897.354,1.03102,0.53731,1.15548,0.8736,0.74164,0.85859,0.51852,1.47449,1.11427,1.38221,0.000763637,0.000763637,0.000763637
67,910.494,0.97218,0.5111,1.1213,0.83124,0.77534,0.87869,0.51677,1.53129,1.07554,1.43859,0.000756976,0.000756976,0.000756976
68,923.634,1.01516,0.53216,1.13967,0.8736,0.80236,0.91349,0.5281,1.52871,0.9064,1.40078,0.000750252,0.000750252,0.000750252
69,936.695,0.98705,0.51826,1.13072,0.89798,0.87128,0.93321,0.5311,1.59507,0.80382,1.43009,0.000743468,0.000743468,0.000743468
70,949.827,1.06953,0.57337,1.17294,0.83867,0.92118,0.9159,0.5263,1.521,0.73881,1.43805,0.000736625,0.000736625,0.000736625
71,962.96,1.03908,0.58941,1.16849,0.90651,0.86265,0.91994,0.44411,1.81191,0.95624,1.70365,0.000729725,0.000729725,0.000729725
72,976.078,1.00919,0.55904,1.13997,0.87374,0.80705,0.9003,0.58563,1.32175,0.81457,1.26126,0.00072277,0.00072277,0.00072277
73,989.262,0.98346,0.53655,1.12713,0.86423,0.8905,0.91089,0.47188,1.7186,0.89155,1.53309,0.000715761,0.000715761,0.000715761
74,1002.39,1.02844,0.50606,1.14431,0.86308,0.88345,0.92054,0.57501,1.38139,0.78825,1.31676,0.0007087,0.0007087,0.0007087
75,1015.5,0.98571,0.53117,1.13289,0.82104,0.8474,0.91191,0.50943,1.662,0.95119,1.54185,0.000701588,0.000701588,0.000701588
76,1028.63,1.03697,0.51437,1.1482,0.82689,0.83818,0.9267,0.4803,1.72732,1.06277,1.61332,0.000694428,0.000694428,0.000694428
77,1041.69,0.93209,0.51348,1.09531,0.80433,0.88461,0.9196,0.58219,1.33241,0.96491,1.30581,0.000687222,0.000687222,0.000687222
78,1054.81,0.98743,0.53083,1.11317,0.85282,0.84088,0.90095,0.44837,1.71009,1.06691,1.54765,0.00067997,0.00067997,0.00067997
79,1067.92,0.98085,0.52556,1.11536,0.85937,0.88251,0.87097,0.53296,1.43925,0.97851,1.34732,0.000672675,0.000672675,0.000672675
80,1081.06,0.95961,0.50318,1.09535,0.85006,0.81735,0.88804,0.53286,1.47198,0.93345,1.38028,0.000665339,0.000665339,0.000665339
81,1094.12,0.96468,0.48665,1.12235,0.81122,0.88243,0.89226,0.4754,1.64336,0.92608,1.54507,0.000657963,0.000657963,0.000657963
82,1107.24,0.96224,0.50644,1.10732,0.8355,0.8407,0.87859,0.51319,1.51682,0.97713,1.45222,0.00065055,0.00065055,0.00065055
83,1120.33,0.96101,0.50302,1.10876,0.83293,0.8662,0.8926,0.45202,1.71476,0.94161,1.57689,0.000643101,0.000643101,0.000643101
84,1133.47,0.89516,0.49299,1.06627,0.89173,0.79974,0.87987,0.48934,1.59926,1.11714,1.49887,0.000635617,0.000635617,0.000635617
85,1146.54,0.91648,0.46297,1.08384,0.90733,0.83986,0.92044,0.47228,1.63483,0.91133,1.54565,0.000628101,0.000628101,0.000628101
86,1159.7,0.92426,0.46067,1.10009,0.77002,0.91079,0.87244,0.48066,1.62079,0.78971,1.52784,0.000620555,0.000620555,0.000620555
87,1172.88,0.91046,0.45304,1.08311,0.91273,0.86467,0.93482,0.52695,1.52749,0.77748,1.44387,0.000612981,0.000612981,0.000612981
88,1186.04,0.91761,0.48518,1.10528,0.83879,0.84671,0.9117,0.54095,1.48567,0.92164,1.39274,0.00060538,0.00060538,0.00060538
89,1199.18,0.91756,0.46515,1.08121,0.86725,0.76268,0.89063,0.51428,1.54431,1.08098,1.42973,0.000597754,0.000597754,0.000597754
90,1212.68,0.94568,0.46927,1.09148,0.80523,0.82838,0.87567,0.47711,1.65417,1.04388,1.51846,0.000590105,0.000590105,0.000590105
